"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Male","United States","Pennsylvania","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","72491","2-5 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Python;VS Code","Python;SQL;JavaScript","File Geodatabase (ESRI)","GIS Certificate from Appalachian State University","No","Yes","2","No","Positively","Yes","Yes","8","8","haha memes go brrrr"
"Other / Prefer not to say","Europe",,"35 to 44","2-Year Degree (Technical, Certificate, Associate's, etc)","No","Self employed (Entrepreneur, Freelancer, etc..)","20000","11-25 years","Developer","Yes","IT","QGIS","QGIS",,"No","50/50",,"JavaScript","PostgreSQL","No",,,"3","No","Not much difference","Yes","I was already working from home","9","9","haha memes go brrrr"
"Male","United States","Virginia","35 to 44","Bachelor's (Undergraduate) Degree","Currently in graduate certificate program","Entry level","44500","11-25 years","Specialist","Yes","Oil and Gas","ArcGIS","ArcGIS","No","No","Raster","CAD","No","File Geodatabase (ESRI)","In progress","No","No","2","Yes - Once a month","Positively","Yes","To some extent","5","4","No"
"Female","United States","Georgia","25 to 34","Master's Degree","Yes","Mid level","49920","5-10 years","Specialist","Yes","Archaeology","ArcGIS;Google Earth","ArcGIS","No","No","50/50","InDesign","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","No",,"8","8","Don't care"
"Male","United States","Pennsylvania","18 to 24","Master's Degree","Maybe","Entry level","50000","1-2 years","Developer","No","Consulting","ArcGIS","ArcGIS","50/50","No","Vector","PostGIS;Python;R;VS Code","Python;SQL;.NET;C#;JavaScript","MySQL","No",,,"2","No","Not much difference","Yes","To some extent","8","8","No"
"Female","United States","California","35 to 44","Master's Degree","Yes","Mid level","88000","11-25 years","Analyst","No","Port","ArcGIS","ArcGIS","Primarily","PhotoShop","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","No","9","5","No"
"Male","United States","California","18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,"No","Academia","ArcGIS;QGIS","ArcGIS","Exclusively","GIMP","50/50","GIMP;Python;R","No","Personal Geodatabase (ESRI)","No",,,"2","Yes - More than once a week","Negatively","Yes","No","7","9","No"
"Female","United States","Florida","25 to 34","Master's Degree","Maybe","Mid level","48000","2-5 years","Analyst","Yes","Environmental","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","Pix4D;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","8","9","haha memes go brrrr"
"Male","Canada","Not United States","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","38000","Under 1 year","Technician","Yes","Natural Resources","ArcGIS;ENVI","ArcGIS","A bit","No","50/50","Python","Python","File Geodatabase (ESRI)","No",,,"2","Yes - Once a month","Negatively","Yes","To some extent","7","8","haha memes go brrrr"
"Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","43714","2-5 years","Analyst","Yes","Non-Profit","QGIS","QGIS",,"No","50/50","Python;R","Python","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","8","8","Don't care"
"Male","Canada",,"25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","45000","2-5 years","Technician","Yes","Agriculture","Global Mapper;Google Earth;QGIS;PCI Geomatica","QGIS",,"No","50/50","PostGIS;PyCharm;Python","Python","PostgreSQL","No",,,"3","Yes - More than once a week","Negatively","I was, but back in the office now","To some extent","10","8","Don't care"
"Male","Europe",,"35 to 44","Master's Degree","Yes","Mangement","120000","5-10 years","Manager","No","Energy","ArcGIS","ArcGIS","Primarily","Photopea","50/50","PyCharm;Python;Photopea","Python","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","Yes","Yes","7","6","No"
"Male","United States","North Carolina","25 to 34","Bachelor's (Undergraduate) Degree","Yes","Entry level","50000","1-2 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","Vector","Python","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","8","10","haha memes go brrrr"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Student - University/College","0","Not employed.",,,,"ArcGIS;ENVI;ERDAS;Google Earth","ArcGIS","A bit","GIMP","50/50","Access;FME;GIMP;PostGIS;PyCharm;Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","10","8","No"
"Female","United States","Indiana","35 to 44","Master's Degree","No, except that my job requires one. It shouldn’t.","Mid level","75000","11-25 years","Coordinator","Yes","Academia","ArcGIS","ArcGIS","Primarily","No","Vector","Access;FME;Python;SQL Server;VS Code","Python;SQL;C#","SQL Server","GISP","Yes","No","2","No","Not much difference","Yes","To some extent","10","8","Don't care"
"Male","United States","Illinois","55 to 64","Bachelor's (Undergraduate) Degree",,"Mangement","130000","11-25 years","Manager","No","Central Government","ArcGIS;ERDAS;QGIS","ArcGIS","Primarily","No","Vector","PostGIS;Python","Python","PostgreSQL","GEOINT Professional Certification","Yes","No","2","No","Not much difference","Yes","To some extent","8","8","Don't care"
"Male","Other",,"25 to 34","High School or equivalent",,"Student - University/College","51000","5-10 years",,"No","Defense","ArcGIS;QGIS","ArcGIS","No","No","Vector",,"No","None (ShapeFiles baby)","No",,,"2","Yes - Once a week","Not much difference","I was, but back in the office now","No","8","8","Don't care"
"Male","United States","North Carolina","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","40000","Under 1 year","Technician","Yes","Telecommunications","Interstellar GCOMMS","None",,"No","50/50",,"No","MySQL","No",,,"2","No","Not much difference","Yes","Yes","8","8","haha memes go brrrr"
"Male","United States","South Dakota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","11-25 years","Analyst","Yes","Public Safety","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","Access;Python","No","File Geodatabase (ESRI)","No",,,"4+","No","Not much difference","Yes","Yes","9","10","No"
"Female","United States","Tennessee","18 to 24","Bachelor's (Undergraduate) Degree","Yes","Student - University/College","16000","2-5 years",,"No","Environmental","ArcGIS","ArcGIS","Exclusively","No","50/50","R","R","File Geodatabase (ESRI)","No",,,"1","Yes - Once a month","Not much difference","Yes","To some extent","7","9","No"
"Male","United States","Arizona","35 to 44","Master's Degree","No","Mid level","60000","5-10 years","Analyst","No","Local Government","ArcGIS","ArcGIS","Primarily","Illustrator","Vector","SQL Server","SQL","SQL Server","No",,,"3","No","Not much difference","Yes","To some extent","6","7","Don't care"
"Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","42000","2-5 years","Analyst","Yes","Telecommunications","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector",,"No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Not much difference","No","No","7","6","haha memes go brrrr"
"Male","United States","California","25 to 34","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","120000","5-10 years","Software Engineer","No","Freelance, bit of everything","QGIS","QGIS",,"No","Raster","GDAL;Python","Python","PostgreSQL","No",,,"1","No","Not much difference","Yes","Yes","7","7","Don't care"
"Male","United States","Washington D.C","25 to 34","Master's Degree","Maybe","Mid level","69000","5-10 years","Specialist","Geospatial","IT","ArcGIS","ArcGIS","Primarily","No","Vector","FME;Microstation;SQL Server","JavaScript","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","8","9","haha memes go brrrr"
"Male","Europe","Not United States","25 to 34","Master's Degree","Maybe","Looking for work","0","Under 1 year",,,,"ArcGIS;Google Earth;QGIS","QGIS","No","No","50/50","GDAL;PostGIS;Python;SQL Server;VS Code","No","None (ShapeFiles baby)","No",,,"1",,"Not much difference",,,"7","7","haha memes go brrrr"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","65000","2-5 years","Specialist","No","Transportation","ArcGIS;QGIS;Proprietary software developed by the company/nies I worked for","Other","No","No","Vector","PostGIS;Python;SQL Server","SQL","None (ShapeFiles baby)","No",,,"2","No","Negatively","Yes","Yes","7","4","No"
"Male","United States","Texas","35 to 44","Master's Degree","Yes","Mangement","70000","11-25 years","Manager","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","No","Vector","FME;PyCharm;Python;SQL Server","Python","SQL Server","GISP","Yes","Yes","2","No","Not much difference","No","No","10","10","Yes"
"Male","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree","N/A","Entry level","42000","2-5 years","Specialist","Yes","GIS","ArcGIS;Google Earth","ArcGIS","50/50","No","50/50","PyCharm;Python;SQL Server","No;Python;SQL","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Negatively","Yes","To some extent","8","9","haha memes go brrrr"
"Male","United Kingdom",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","42000","2-5 years","Research Analyst","Geospatial analyst","Transportation","Google Earth;QGIS","QGIS",,"No","Vector","PostGIS;Python;SQL Server","Python;SQL","PostgreSQL","No",,"No","3","No","Not much difference","Yes","To some extent","8","8","haha memes go brrrr"
"Male","Europe",,"25 to 34","Master's Degree",,"Looking for work","11000","1-2 years",,"Yes","GIS","ArcGIS","ArcGIS","A bit","No","50/50","PyCharm;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Negatively",,,"6","8","haha memes go brrrr"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","40000","5-10 years","Executive Director","No","Non-Profit","QGIS;PostGIS","QGIS",,"InkScape","Vector","GDAL;GIMP;PostGIS","Python;SQL;Bash","PostgreSQL","No","No","No","3","Yes - Once a month","Positively","I was already working from home","Yes","7","8","Don't care"
"Male","United States","North Carolina","25 to 34","High School or equivalent",,"Mid level","20.06","2-5 years","Technician","Yes","Local Government","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS;Leaflet.JS","ArcGIS","Primarily","No","50/50","Access;Python;SQL Server;Paint.NET, Inkscape","Python;JavaScript","SQL Server","No",,,"3","Yes - Once a week","Positively","I was, but back in the office now","To some extent","10","10","No"
"Male","United States","Colorado","25 to 34","Master's Degree","Yes","Mangement","90000","5-10 years","Specialist","No","Federal Government","ArcGIS;Global Mapper;Google Earth;QGIS","ArcGIS","Exclusively","No","50/50","PyCharm;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","GISP","Yes","No","2","Yes - More than once a year","Not much difference","Yes","To some extent","10","10","No"
"Male","United States","Oregon","18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,,,"ArcGIS;ENVI;Google Earth","ArcGIS","Exclusively","No","50/50","Access;Pix4D;R","No","File Geodatabase (ESRI)","No",,,"3",,,,,"7","9","Don't care"
"Male","Canada","Not United States","25 to 34","Master's Degree","Maybe","Mid level","60000","5-10 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","A bit","No","Vector","FME;Python;VS Code","Python;.NET;C#;JavaScript","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","5","3","Don't care"
"Male","Canada","Not United States","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","49000","1-2 years","Analyst","Yes","Central Government","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","Vector","Access;Python;SAS;VS Code","Python;SQL","File Geodatabase (ESRI)","No",,,"3","No","Positively","Yes","Yes","8","9","Yes"
"Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","65000","2-5 years","Researcher","No","Academia","ArcGIS;Google Earth;QGIS;Google Earth Engine code editor and python/R api, OpenDroneMap, Trimble eCognition","Other","Exclusively","Illustrator;PhotoShop;ImageJ, Premiere Pro","50/50","GDAL;Python;R","Python;JavaScript;R","File Geodatabase (ESRI)","No",,,"4+","Yes - More than once a year","Not much difference","I was already working from home","I was already working from home","8","8","No"
"Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","50000","2-5 years","Specialist","Yes","Environmental","ArcGIS;QGIS","ArcGIS","Exclusively","No","Vector","PyCharm;Python;R","Python;R","Personal Geodatabase (ESRI)","No",,,"2","Yes - Once a month","Positively","Yes","Yes","7","8","No"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","5000","Under 1 year",,"Yes","Academia","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS;Geoda","QGIS",,"Illustrator;PhotoShop","Vector","PostGIS;Python;R;PostgreSQL","Python;SQL","PostgreSQL","No",,,"2","No","Negatively","Yes","To some extent","6","8","No"
"Male","Other",,"35 to 44","Master's Degree","No","Mid level","38000","11-25 years","Analyst","Yes","Consulting","ArcGIS;Google Earth;QGIS","QGIS",,"InkScape;GIMP","50/50","GDAL;GIMP;PostGIS","No","PostgreSQL","No",,,"2","No","Not much difference","I was, but back in the office now","To some extent","8","9","Don't care"
"Male","Ireland","Not United States","18 to 24","Bachelor's (Undergraduate) Degree","Currently doing MSc in GIS","Student - University/College","0","Not employed.",,"It’s in my course title ","Currently a student ","ArcGIS;Manifold;QGIS","ArcGIS","No","No","50/50","GDAL;PostGIS;PyCharm;Python;SQL Server;PostgreSQL, AWS","Python;SQL","PostgreSQL","No",,,"2",,"Not much difference","Yes","Yes","8","8","Yes"
"Male","United States","Massachusetts","35 to 44","Bachelor's (Undergraduate) Degree","No","Mid level","100000","5-10 years","Technician","Yes","Utilities","ArcGIS","ArcGIS","No","No","Vector",,"No","None (ShapeFiles baby)","No",,,"2","Yes - Once a month","Not much difference","Yes","No","8","8","Don't care"
"Female","United States","Indiana","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","65000","11-25 years","Research Associate","No","Commercial agronomy research","ArcGIS;Google Earth","ArcGIS","No","No","Raster","Access;R;Propriatary employer software, drone deploy, spotfire, power BI, solstice","No","None (ShapeFiles baby)","No","No",,"2","Yes - More than once a week","Not much difference","No","No","5","5","Don't care"
"Male","United States","Washington D.C","25 to 34","Master's Degree","Maybe","Mid level","60000","2-5 years","Senior Analyst","Yes","Consulting","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","4","7","Don't care"
"Male","Other",,"35 to 44","Master's Degree","Yes","Mid level","40000","5-10 years","Lecturer","No","Academia","ArcGIS","ArcGIS","Primarily","No","Vector","FME;SQL Server","Python","SQL Server","No",,,"2","Yes - Once a year","Not much difference","I was, but back in the office now","To some extent","4","4","No"
"Male","Canada",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","40000","Under 1 year","Analyst","Geomatic","Central Government","ArcGIS;AutoCAD;QGIS","ArcGIS","No","No","Vector","Access","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","7","10","No"
"Male","United States","Texas","35 to 44","Master's Degree","Yes","Mid level","170000","11-25 years","Project Manager","No","Oil and Gas","ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","A bit","No","50/50","Access;FME;Matlab;Microstation;Python;R;SQL Server;VS Code","Python;SQL","Oracle","No",,,"3","No","Not much difference","Yes","To some extent","8","10","No"
"Female","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","2-5 years","Analyst","Yes","Consulting","ArcGIS;Google Earth","ArcGIS","A bit","No","50/50","Microstation;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","7","8","No"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Research Analyst","Yes","State Government ","ArcGIS;AutoCAD;ERDAS;Google Earth","ArcGIS","Primarily","No","Vector","Access;Matlab;Microstation;PyCharm;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No","No","No","2","Yes - Once a year","Not much difference","Yes","To some extent","9","9","Don't care"
